codigo,complexity,n_classes,n_functions,loc,lloc,sloc,single_comments,comments,multilines,blank_lines,h1,h2,N1,N2,h,N,calculated_N,volume,difficulty,effort,bugs,time,imports,assignments,assignments_unique,kwds,kwds_unique,lt_numbers,lt_strings,lt_booleans,lgc_op,lgc_op_unique,and_op,or_op,not_op,arithmetic_op,arithmetic_op_unique,add_op,minus_op,mult_op,div_op,mod_op,power_op,div_floor_op,cmp_op,cmp_op_unique,equal_op,not_eq_op,lt_op,gt_op,less_op,greater_op,bitwise_op,bitwise_op_unique,bitwise_and,bitwise_or,bitwise_xor,bitwise_not,lshift_op,rshift_op,identity_op,membership_op,conditionals,ifs,elifs,elses,loops,whiles,fors,breaks,continues,builtin_f,builtin_f_unique,type_f,type_f_unique,lambdas,lpar,rpar,lsqb,rsqb,lbrace,rbrace,commas,colons,dots,prints,inputs,len,uident,uident_unique,uident_mean,uident_per_line,uident_chars
1880,13,0,0,28,27,27,0,0,0,1,1,13,12,24,14,36,48.105716335834195,137.06477719407374,0.9230769230769231,126.52133279452961,0.04568825906469125,7.0289629330294225,0,1,1,13,3,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,11,1,0,0,0,0,0,15,3,1,1,0,27,27,0,0,0,0,0,13,0,13,1,0,13,1,1,0.4482758620689655,1.0
1115,7,0,0,31,19,18,1,1,7,5,8,18,14,28,26,42,99.05865002596161,197.4184681619259,6.222222222222222,1228.3815796742056,0.0658061560539753,68.24342109301142,0,9,1,8,4,15,7,0,2,1,2,0,0,6,3,1,0,1,4,0,0,0,6,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,0,0,0,0,8,5,2,2,0,10,10,0,0,0,0,5,6,0,3,2,0,23,6,1.5333333333333334,0.71875,3.6666666666666665
1018,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,0,4,4,0,0,0,0,0,0,0,0,2,0,2,2,1,0.6666666666666666,1.0
1110,16,0,0,46,36,35,1,1,7,3,5,24,26,54,29,80,121.64874049174458,388.6384796102058,5.625,2186.091447807408,0.1295461598700686,121.44952487818932,0,18,1,19,4,28,10,0,5,1,5,0,0,8,1,8,0,0,0,0,0,0,15,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,4,0,0,0,0,0,9,3,3,1,0,16,16,0,0,0,0,7,14,0,3,3,0,47,6,1.5666666666666667,1.0,2.6666666666666665
1622,3,0,0,30,13,12,1,1,10,7,4,7,5,10,11,15,27.651484454403228,51.89147427955947,2.857142857142857,148.26135508445563,0.01729715809318649,8.236741949136423,1,8,1,4,4,5,3,0,0,0,0,0,0,4,3,2,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,5,3,0,0,0,10,10,2,2,0,0,0,2,0,1,2,0,23,7,1.9166666666666667,0.7419354838709677,4.857142857142857
1185,3,0,0,23,11,10,1,1,8,4,3,6,4,8,9,12,20.264662506490406,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751,1,5,2,4,4,5,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,4,3,0,0,0,7,7,1,1,0,0,0,2,2,2,1,0,16,7,1.6,0.6666666666666666,5.285714285714286
2178,4,0,0,21,13,12,1,4,7,1,4,7,4,8,11,12,27.651484454403228,41.51317942364757,2.2857142857142856,94.88726725405158,0.01383772647454919,5.27151484744731,1,7,1,7,5,5,2,0,0,0,0,0,0,4,4,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,2,0,0,7,6,2,1,0,11,11,3,3,0,0,2,3,0,1,1,0,27,11,2.25,1.2272727272727273,2.6363636363636362
1617,7,0,0,36,19,18,1,1,10,7,4,29,17,34,33,51,148.8814488586996,257.2641000872811,2.3448275862068964,603.2399588253488,0.0857547000290937,33.51333104585271,1,10,1,8,5,8,8,0,0,0,0,0,0,12,2,6,0,6,0,0,0,0,6,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,1,1,0,0,0,5,3,0,0,0,14,14,10,10,0,0,0,6,0,1,2,0,43,7,2.388888888888889,1.162162162162162,4.714285714285714
3176,7,0,0,11,10,10,1,1,0,0,3,14,8,19,17,27,58.05785641096992,110.36149671375918,2.0357142857142856,224.66447545300974,0.03678716557125306,12.48135974738943,0,5,2,8,5,4,6,0,4,1,0,4,0,2,1,2,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,0,0,3,2,0,0,0,3,3,0,0,0,0,0,3,0,2,1,0,14,4,1.5555555555555556,1.1666666666666667,3.25
3384,2,0,0,9,7,7,0,0,0,2,3,4,3,6,7,9,12.75488750216347,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805,0,4,1,2,2,3,3,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,5,4,1,1,0,7,7,0,0,0,0,1,2,1,1,2,0,9,4,1.5,0.9,5.0
